CaseID,Activity,People,StartTimestamp
46304,OpenPR,WindQAQ,2021-01-09 04:17:17
46304,PRReviewApprove,mihaimaruseac,2021-03-01 18:29:39
46304,PRReviewApprove,gbaned,2021-03-04 12:28:13
46304,PRReviewComment,mihaimaruseac,2021-03-08 18:48:35
46304,PRReviewComment,mihaimaruseac,2021-03-08 18:48:41
46304,PRReviewComment,mihaimaruseac,2021-03-08 18:48:41
46304,SubmitCommit,mihaimaruseac,2021-03-08 18:49:14
46304,PRReviewComment,mihaimaruseac,2021-03-08 18:50:16
46304,PRReviewComment,mihaimaruseac,2021-03-08 18:50:16
46304,PRReviewComment,cantonios,2021-03-23 20:30:30
46304,PRReviewComment,cantonios,2021-03-23 20:33:51
46304,PRReviewReject,cantonios,2021-03-23 20:47:33
46304,PRReviewReject,cantonios,2021-03-23 20:47:34
46304,PRReviewReject,cantonios,2021-04-05 16:09:42
46305,OpenPR,guywilsonjr,2021-01-09 05:43:30
46305,ClosePR,guywilsonjr,2021-01-09 05:43:48
46322,CreateBranch,WindQAQ,2021-01-10 23:11:11
46322,OpenPR,WindQAQ,2021-01-10 23:13:23
46322,PRReviewComment,abattery,2021-01-11 01:21:58
46322,PRReviewComment,abattery,2021-01-11 01:32:11
46322,PRReviewComment,abattery,2021-01-11 01:41:30
46322,SubmitCommit,WindQAQ,2021-01-11 20:27:56
46322,PRReviewComment,smit-hinsu,2021-01-11 21:15:02
46322,PRReviewComment,smit-hinsu,2021-01-11 21:15:08
46322,PRReviewComment,smit-hinsu,2021-01-11 21:15:46
46322,PRReviewComment,smit-hinsu,2021-01-11 21:15:47
46322,PRReviewComment,smit-hinsu,2021-01-11 22:01:44
46322,SubmitCommit,WindQAQ,2021-01-11 22:32:29
46322,PRReviewComment,smit-hinsu,2021-01-11 22:39:23
46322,SubmitCommit,WindQAQ,2021-01-11 22:41:52
46322,ClosePR,WindQAQ,2021-01-11 23:11:25
46322,DeleteBranch,WindQAQ,2021-01-11 23:12:17
46335,OpenPR,marbre,2021-01-11 10:14:04
46335,ClosePR,marbre,2021-01-11 10:35:26
46335,DeleteBranch,marbre,2021-01-11 10:36:13
46339,ForkRepository,kaanfurkan35,2021-01-11 11:35:50
46339,SubmitCommit,kaanfurkan35,2021-01-11 11:38:11
46339,OpenPR,kaanfurkan35,2021-01-11 11:42:31
46339,ClosePR,mihaimaruseac,2021-01-11 16:42:11
46339,DeleteBranch,kaanfurkan35,2021-01-13 06:07:06
46352,CreateBranch,advaitjain,2021-01-12 00:11:27
46352,OpenPR,advaitjain,2021-01-12 00:35:44
46352,SubmitCommit,advaitjain,2021-01-21 17:45:09
46352,ClosePR,advaitjain,2021-01-21 17:46:38
