case:concept:name,concept:name,time:timestamp,People,Role
49499,OpenPR,2021-05-23 07:51:33+00:00,TakahashiYoshikazu,Committer
49499,ClosePR,2021-05-23 07:52:56+00:00,TakahashiYoshikazu,Maintainer
50156,CreateBranch,2021-06-08 16:47:57+00:00,geetachavan1,Committer
50156,OpenPR,2021-06-08 16:48:08+00:00,geetachavan1,Committer
50156,ClosePR,2021-06-08 16:59:51+00:00,geetachavan1,Maintainer
50157,CreateBranch,2021-06-08 17:05:47+00:00,rmothukuru,Committer
50157,OpenPR,2021-06-08 17:05:49+00:00,rmothukuru,Committer
50157,SubmitCommit,2021-06-08 17:08:39+00:00,rmothukuru,Committer
50157,ClosePR,2021-06-08 17:10:54+00:00,rmothukuru,Maintainer
50157,DeleteBranch,2021-06-08 17:11:08+00:00,rmothukuru,Committer
50235,CreateBranch,2021-06-12 01:14:40+00:00,jvishnuvardhan,Committer
50235,OpenPR,2021-06-12 01:14:51+00:00,jvishnuvardhan,Committer
50235,PRReviewApprove,2021-06-24 17:42:04+00:00,qlzh727,Reviewer
50235,PRReviewApprove,2021-06-25 13:30:41+00:00,gbaned,Reviewer
50235,ClosePR,2021-06-28 18:05:30+00:00,qlzh727,Maintainer
50390,SubmitCommit,2021-01-04 20:20:37+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-05-18 20:50:54+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-05-19 15:42:23+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-05-19 15:43:08+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-05-19 15:44:16+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-05-20 15:13:49+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-05-20 15:14:39+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-05-20 15:14:54+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-05-20 15:16:51+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-05-20 15:20:40+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-05-20 15:21:19+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-05-20 15:23:26+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-05-20 15:24:39+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-05-20 15:27:10+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-05-20 15:28:03+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-05-20 15:29:09+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-05-20 15:31:29+00:00,mihaimaruseac,Committer
50390,SubmitCommit,2021-05-21 15:12:55+00:00,mihaimaruseac,Committer
