2022-12-03 11:30:23 , %d format: a number is required, not NoneType
2022-12-03 11:30:23 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:24 , %d format: a number is required, not NoneType
2022-12-03 11:30:25 , %d format: a number is required, not NoneType
2022-12-03 11:30:25 , %d format: a number is required, not NoneType
2022-12-03 11:30:25 , %d format: a number is required, not NoneType
2022-12-03 11:30:25 , %d format: a number is required, not NoneType
2022-12-03 11:30:25 , %d format: a number is required, not NoneType
2022-12-03 11:30:25 , %d format: a number is required, not NoneType
2022-12-03 11:30:25 , %d format: a number is required, not NoneType
2022-12-03 11:30:25 , %d format: a number is required, not NoneType
2022-12-03 11:30:25 , %d format: a number is required, not NoneType
2022-12-03 11:30:25 , %d format: a number is required, not NoneType
2022-12-03 11:30:25 , %d format: a number is required, not NoneType
2022-12-03 11:30:25 , %d format: a number is required, not NoneType
2022-12-03 11:30:25 , %d format: a number is required, not NoneType
2022-12-03 11:30:25 , %d format: a number is required, not NoneType
2022-12-03 11:30:25 , %d format: a number is required, not NoneType
2022-12-03 11:30:25 , %d format: a number is required, not NoneType
2022-12-03 11:30:25 , %d format: a number is required, not NoneType
2022-12-03 11:30:25 , %d format: a number is required, not NoneType
2022-12-03 11:30:25 , %d format: a number is required, not NoneType
2022-12-03 11:30:26 , %d format: a number is required, not NoneType
2022-12-03 11:30:26 , %d format: a number is required, not NoneType
2022-12-03 11:30:26 , %d format: a number is required, not NoneType
2022-12-03 11:30:26 , %d format: a number is required, not NoneType
2022-12-03 11:30:26 , %d format: a number is required, not NoneType
2022-12-03 11:30:26 , %d format: a number is required, not NoneType
2022-12-03 11:30:26 , %d format: a number is required, not NoneType
2022-12-03 11:30:26 , %d format: a number is required, not NoneType
2022-12-03 11:30:26 , %d format: a number is required, not NoneType
