2022-12-04 20:27:52 , %d format: a number is required, not NoneType
2022-12-04 20:27:54 , %d format: a number is required, not NoneType
2022-12-10 11:14:24 , %d format: a number is required, not NoneType2022-12-10 11:14:25 , %d format: a number is required, not NoneType2022-12-10 11:14:26 , %d format: a number is required, not NoneType2022-12-10 11:14:26 , %d format: a number is required, not NoneType2022-12-10 11:14:27 , %d format: a number is required, not NoneType2022-12-10 11:14:27 , %d format: a number is required, not NoneType2022-12-10 11:14:27 , %d format: a number is required, not NoneType2022-12-10 11:14:27 , %d format: a number is required, not NoneType2022-12-10 11:14:27 , %d format: a number is required, not NoneType2022-12-27 18:29:20 , %d format: a number is required, not NoneType2022-12-27 18:29:21 , %d format: a number is required, not NoneType2022-12-27 18:29:21 , %d format: a number is required, not NoneType2022-12-27 18:29:23 , %d format: a number is required, not NoneType2022-12-27 18:29:23 , %d format: a number is required, not NoneType2022-12-27 18:29:24 , (1062, "Duplicate entry '22444627290' for key 'PRIMARY'")
